l1_group_id,l1_artifact_id,l1_version,l1_release_date,l2_group_id,l2_artifact_id,l2_version,l2_release_date,c1_group_id,c1_artifact_id,c1_version,c1_release_date,c2_group_id,c2_artifact_id,c2_version,c2_release_date
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.0,2006-02-16T08:34:50Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-8,2005-10-12T00:38:30Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-9,2005-12-07T23:35:14Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.0,2006-02-16T08:34:50Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-9,2005-12-07T23:35:14Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-9-stable-1,2007-03-11T01:49:21Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.1,2006-05-02T18:54:02Z[GMT],net.sourceforge.serp,serp,1.12.0,2006-11-08T17:55:48Z[GMT],net.sourceforge.serp,serp,1.13.1,2007-08-11T21:27:06Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.1,2006-05-02T18:54:02Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-11,2006-11-26T13:29:16Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-12,2006-11-27T01:27:39Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.1,2006-05-02T18:54:02Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-7,2005-10-03T00:44:33Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-8,2005-10-12T00:38:30Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.1,2006-05-02T18:54:02Z[GMT],org.apache.maven.shared,maven-verifier,1.0,2006-12-13T14:31:20Z[GMT],org.apache.maven.shared,maven-verifier,1.2,2009-09-14T23:08:20Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.1,2006-05-02T18:54:02Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-8,2005-10-12T00:38:30Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-9,2005-12-07T23:35:14Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.1,2006-05-02T18:54:02Z[GMT],org.apache.maven.surefire,surefire,1.5.2,2006-05-07T22:30:53Z[GMT],org.apache.maven.surefire,surefire,1.5.3,2006-05-07T22:30:53Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.1,2006-05-02T18:54:02Z[GMT],org.testng,testng,6.1.1,2011-07-05T22:22:46Z[GMT],org.testng,testng,6.2,2011-08-18T18:21Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.3,2007-03-20T15:13:18Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-9,2005-12-07T23:35:14Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-9-stable-1,2007-03-11T01:49:21Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.3,2007-03-20T15:13:18Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-7,2005-10-03T00:44:33Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-8,2005-10-12T00:38:30Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.3.1,2007-03-29T20:46:54Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-9,2005-12-07T23:35:14Z[GMT],org.codehaus.plexus,plexus-container-default,1.0-alpha-9-stable-1,2007-03-11T01:49:21Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.3.1,2007-03-29T20:46:54Z[GMT],org.apache.maven.scm,maven-scm-api,1.0-beta-2,2006-05-07T22:30:56Z[GMT],org.apache.maven.scm,maven-scm-api,1.0-beta-3,2006-04-19T17:09:36Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.3.1,2007-03-29T20:46:54Z[GMT],com.thoughtworks.qdox,qdox,1.6.3,2007-06-15T10:24:58Z[GMT],com.thoughtworks.qdox,qdox,1.7,2008-12-23T04:05:22Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.3.1,2007-03-29T20:46:54Z[GMT],jline,jline,0.9.9,2006-07-22T11:01:14Z[GMT],jline,jline,0.9.91,2007-03-13T18:18:42Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.3.1,2007-03-29T20:46:54Z[GMT],org.picocontainer,picocontainer-tck,1.3-RC-1,2007-01-12T10:07:58Z[GMT],org.picocontainer,picocontainer-tck,1.3,2007-03-18T10:25:15Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.4,2007-07-19T14:13:36Z[GMT],org.jboss.microcontainer,jboss-kernel,2.0.0.Beta10,2008-01-24T19:51:18Z[GMT],org.jboss.microcontainer,jboss-kernel,2.0.0.Beta11,2008-03-21T17:37:20Z[GMT]
junit,junit,3.8.1,2005-08-01T09:42:48Z[GMT],junit,junit,4.4,2007-07-19T14:13:36Z[GMT],jline,jline,0.9.93,2007-11-13T22:16:44Z[GMT],jline,jline,0.9.94,2008-02-22T19:53:43Z[GMT]
