l1_group_id,l1_artifact_id,l1_version,l1_release_date,l2_group_id,l2_artifact_id,l2_version,l2_release_date,c1_group_id,c1_artifact_id,c1_version,c1_release_date,c2_group_id,c2_artifact_id,c2_version,c2_release_date
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],io.rsocket,rsocket-test,0.11.5,2018-08-02T17:41:32Z[GMT],io.rsocket,rsocket-test,0.11.6,2018-09-09T14:35:53Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],cloud.localstack,localstack-utils,0.1.13,2018-04-08T22:51:50Z[GMT],cloud.localstack,localstack-utils,0.1.14,2018-06-17T19:48:54Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],com.gtcgroup,justify-core,8.4.0,2017-07-04T17:45:23Z[GMT],com.gtcgroup,justify-core,8.5.0-alpha,2018-03-22T20:09:58Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],org.springframework.integration,spring-integration-test-support,5.0.5.RELEASE,2018-05-08T23:56:05Z[GMT],org.springframework.integration,spring-integration-test-support,5.0.6.RELEASE,2018-06-13T21:54:15Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],org.springframework.integration,spring-integration-test-support,5.0.3.RELEASE,2018-02-28T19:59:43Z[GMT],org.springframework.integration,spring-integration-test-support,5.0.4.RELEASE,2018-04-04T19:50:38Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],org.springframework.integration,spring-integration-test-support,5.0.4.RELEASE,2018-04-04T19:50:38Z[GMT],org.springframework.integration,spring-integration-test-support,5.0.5.RELEASE,2018-05-08T23:56:05Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],org.springframework.integration,spring-integration-test-support,5.0.6.RELEASE,2018-06-13T21:54:15Z[GMT],org.springframework.integration,spring-integration-test-support,5.0.7.RELEASE,2018-07-28T00:06:10Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],com.github.valfirst,slf4j-test,1.3.0,2018-01-05T14:18:44Z[GMT],com.github.valfirst,slf4j-test,2.0.0,2018-03-19T19:32:33Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],org.rapidpm,rapidpm-vaadin-addons-modules-junit5,0.1.0,2017-12-20T09:11:10Z[GMT],org.rapidpm,rapidpm-vaadin-addons-modules-junit5,0.2.0,2018-02-27T19:56:24Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],org.rapidpm,rapidpm-vaadin-addons-modules-testbench,0.1.0,2017-12-20T09:11:30Z[GMT],org.rapidpm,rapidpm-vaadin-addons-modules-testbench,0.2.0,2018-02-27T19:57:52Z[GMT]
junit,junit,4.12,2014-12-04T16:17:43Z[GMT],org.junit.jupiter,junit-jupiter-api,5.1.0,2018-02-18T19:40:04Z[GMT],org.springframework.amqp,spring-rabbit-junit,2.0.2.RELEASE,2018-01-29T16:06:27Z[GMT],org.springframework.amqp,spring-rabbit-junit,2.0.3.RELEASE,2018-04-04T15:27:22Z[GMT]
