l_group_id,l_artifact_id,l_version1,l_version2,c_group_id,c_artifact_id,c_version1,c_version2
org.slf4j,slf4j-api,1.6.1,1.6.2,cn.eova,eova,1.5.0,1.6-beta1
org.slf4j,slf4j-api,1.6.1,1.6.2,org.sonatype.sisu,sisu-inject-bean,2.2.3,2.3.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.sonatype.sisu,sisu-guice,3.0.3,3.1.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.sonatype.sisu.inject,guice-plexus-lifecycles,2.2.3,2.3.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.sonatype.sisu.inject,guice-plexus-binders,2.2.3,2.3.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.sonatype.sisu.inject,guice-bean-reflect,2.2.3,2.3.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.sonatype.sisu.inject,guice-bean-locators,2.2.3,2.3.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.openengsb.infrastructure,openengsb-infrastructure-parent,1.3.0.M3,2.0.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.openengsb.domain,openengsb-domain-parent,1.3.0.M3,2.0.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-security-wasp,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-gmap2,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-datatables,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,mbeanview-examples,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,gmap2-examples,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,com.ning,async-http-client,1.6.5,1.7.0-RC1
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.cxf,cxf-rt-transports-http-jetty,2.4.4,2.4.5
org.slf4j,slf4j-api,1.6.1,1.6.2,org.codehaus.btm,btm,2.1.1,2.1.2
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.cxf,cxf-bundle-jaxrs,2.4.3,2.4.4
org.slf4j,slf4j-api,1.6.1,1.6.2,org.kuali.rice,rice-impl,1.0.8,2.0.0-b1
org.slf4j,slf4j-api,1.6.1,1.6.2,net.sf.ehcache,ehcache-core,2.4.5,2.4.6
org.slf4j,slf4j-api,1.6.1,1.6.2,com.proofpoint.platform,log,0.49,0.50
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.wicket,wicket-spring,1.5.1,1.5.2
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.wicket,wicket-ioc,1.5.1,1.5.2
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.wicket,wicket-extensions,1.5.1,1.5.2
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.wicket,wicket,1.5.1,1.5.2
org.slf4j,slf4j-api,1.6.1,1.6.2,net.thucydides.easyb,thucydides-easyb-plugin,0.4.8,0.4.16
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.cxf,cxf-rt-transports-http-jetty,2.4.8,2.4.9
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.cxf,cxf-bundle,2.4.6,2.4.7
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.cxf,cxf-rt-transports-http-jetty,2.4.6,2.4.7
org.slf4j,slf4j-api,1.6.1,1.6.2,org.commonjava.util,logging,1.1,1.2
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.cxf,cxf-bundle,2.6.0.fuse-71-047,2.6.1
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3,0.3.1
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.zookeeper,zookeeper,3.4.2,3.4.3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.hibernate,hibernate-core,3.6.6.Final,3.6.7.Final
org.slf4j,slf4j-api,1.6.1,1.6.2,org.mybatis,mybatis,3.0.6,3.1.0
org.slf4j,slf4j-api,1.6.1,1.6.2,com.sun.electric,electric-distribution,9.01-b,9.02-e
org.slf4j,slf4j-api,1.6.1,1.6.2,com.sun.electric,electric-core,9.01-b,9.02-e
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.shiro,shiro-core,1.0.0-incubating,1.1.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.commonjava.util,logging,1.0,1.1
org.slf4j,slf4j-api,1.6.1,1.6.2,net.sf.ehcache,ehcache-core,2.5.0,2.5.1
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.mina,mina-core,2.0.4,2.0.5
org.slf4j,slf4j-api,1.6.1,1.6.2,org.openengsb.ports,openengsb-ports-parent,1.3.0.M3,2.0.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.openengsb.ui,openengsb-ui-parent,1.3.0.M3,2.0.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.openengsb.connector,openengsb-connector-parent,1.3.0.M3,2.0.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.sonatype.sisu.inject,guice-plexus-shim,2.2.3,2.3.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.sonatype.sisu,sisu-inject-plexus,2.2.3,2.3.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,datatables-examples,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,gae-initializer-example,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-jasperreports,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,jquery-examples,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,jsr303-examples,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,minis-examples,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,mootools-meiomask-examples,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicket-security-parent,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicket-security-swarm-parent,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicket-security-wasp-parent,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-shiro,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.wicket,wicket-spring,1.5.0,1.5.1
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.wicket,wicket-ioc,1.5.0,1.5.1
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-jquery,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,ch.qos.logback,logback-classic,0.9.28,0.9.29
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.wicket,wicket-extensions,1.5.0,1.5.1
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-mootools-meiomask,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-objectautocomplete,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-openlayers,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-phonebook,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-security-swarm,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-security-hive,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-security-wicomsec,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.wicket,wicket,1.5.0,1.5.1
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,wicketstuff-yav,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,org.wicketstuff,yav-examples,1.5-RC7,1.5.0
org.slf4j,slf4j-api,1.6.1,1.6.2,ch.qos.logback,logback-classic,0.9.29,0.9.30
org.slf4j,slf4j-api,1.6.1,1.6.2,ro.isdc.wro4j,wro4j-core,1.4.0,1.4.1
org.slf4j,slf4j-api,1.6.1,1.6.2,ro.isdc.wro4j,wro4j-maven-plugin,1.3.8,1.4.1
org.slf4j,slf4j-api,1.6.1,1.6.2,ro.isdc.wro4j,wro4j-parent,1.4.0,1.4.1
org.slf4j,slf4j-api,1.6.1,1.6.2,ru.frostman.web,webjavin-indigo,0.1.2,0.2
org.slf4j,slf4j-api,1.6.1,1.6.2,ru.frostman.web,webjavin-mongo,0.1.2,0.2
org.slf4j,slf4j-api,1.6.1,1.6.2,ru.frostman.web,webjavin-parent,0.1.2,0.2
org.slf4j,slf4j-api,1.6.1,1.6.2,com.googlecode.ehcache-spring-annotations,ehcache-spring-annotations,1.2.0-M1,1.2.0
org.slf4j,slf4j-api,1.6.1,1.6.2,com.googlecode.jperipheral,jperipheral-java,1.0.4,1.0.6
org.slf4j,slf4j-api,1.6.1,1.6.2,com.ning,async-http-client,1.6.4,1.6.5
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,ldap-client-test,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-xdbm-tools,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.shared,shared-ldap-model,1.0.0-M7,1.0.0-M8
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-xdbm-partition,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-wrapper,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-service-builder,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-service,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.cxf,cxf-bundle,2.4.2,2.4.3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-test-framework,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-server-jndi,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-protocol-shared,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-protocol-ldap,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-core-jndi,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.server,apacheds-protocol-kerberos,2.0.0-M2,2.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.directory.shared,shared-dsml-engine,1.0.0-M2,1.0.0-M3
org.slf4j,slf4j-api,1.6.1,1.6.2,org.apache.cxf,cxf-rt-transports-http-jetty,2.4.2,2.4.3
