,c1_group_id,c1_artifact_id,c1_version,c2_version
16,org.codehaus.btm,btm,2.1.1,2.1.2
17,org.apache.cxf,cxf-bundle-jaxrs,2.4.3,2.4.4
31,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3,0.3.1
37,org.apache.shiro,shiro-core,1.0.0-incubating,1.1.0
39,net.sf.ehcache,ehcache-core,2.5.0,2.5.1
40,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
41,org.apache.mina,mina-core,2.0.4,2.0.5
61,ch.qos.logback,logback-classic,0.9.28,0.9.29
73,ch.qos.logback,logback-classic,0.9.29,0.9.30
85,org.apache.directory.shared,shared-ldap-model,1.0.0-M7,1.0.0-M8
103,org.apache.directory.server,apacheds-server-annotations,2.0.0-M2,2.0.0-M3
124,org.opensaml,xmltooling,1.3.2,1.3.2-1
137,ch.qos.logback,logback-classic,0.9.29,0.9.30
146,org.apache.avro,avro-mapred,1.5.4,1.6.0
204,org.apache.hadoop,hadoop-common,2.1.0-beta,2.2.0
230,org.apache.cxf,cxf-bundle-jaxrs,2.4.3,2.4.4
252,org.apache.wicket,wicket-ioc,1.5.2,1.5.3
253,org.apache.wicket,wicket-extensions,1.5.2,1.5.3
255,org.apache.wicket,wicket-spring,1.5.2,1.5.3
256,org.apache.wicket,wicket,1.5.2,1.5.3
269,org.jboss.weld,weld-core,1.1.7.Final,1.1.8.Final
274,org.codehaus.btm,btm,2.1.2,2.1.3
283,org.opensaml,xmltooling,1.3.2,1.3.2-1
284,org.apache.mina,mina-core,2.0.1,2.0.2
298,net.sf.ehcache,ehcache-core,2.5.0,2.5.1
303,org.ops4j.pax.swissbox,pax-swissbox-extender,1.5.0,1.5.1
321,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
326,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3,0.3.1
370,ch.qos.logback,logback-classic,0.9.28,0.9.29
374,org.apache.shiro,shiro-core,1.0.0-incubating,1.1.0
375,com.ning,async-http-client,1.6.3,1.6.4
377,org.apache.directory.server,apacheds-service-builder,2.0.0-M3,2.0.0-M6
387,org.hibernate,hibernate-validator,4.2.0.CR1,4.2.0.Final
389,org.hibernate,hibernate-core,3.6.7.Final,3.6.8.Final
390,org.quartz-scheduler,quartz,2.0.2,2.1.0
396,org.apache.camel,camel-core,2.9.0-RC1,2.9.0
397,org.codehaus.btm,btm,2.1.1,2.1.2
434,org.thymeleaf,thymeleaf-spring4,2.1.3.RELEASE,2.1.4.RELEASE
444,org.opensaml,xmltooling,1.3.2,1.3.2-1
448,org.apache.mina,mina-core,2.0.5,2.0.6
449,org.apache.mina,mina-core,2.0.1,2.0.2
451,org.jboss.errai,errai-bus,2.2.0.CR2,2.2.0.Final
452,net.sf.ehcache,ehcache-core,2.5.0,2.5.1
472,org.jboss.errai,errai-bus,2.3.0.CR1,2.3.0.Final
479,org.apache.mina,mina-core,2.0.4,2.0.5
480,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
481,org.hibernate,hibernate-validator,4.2.0.CR1,4.2.0.Final
482,org.jboss.weld,weld-core,1.1.7.Final,1.1.8.Final
542,org.sonatype.sisu,sisu-velocity,1.1,1.2
549,org.jboss.weld,weld-core,1.1.7.Final,1.1.8.Final
558,org.ops4j.base,ops4j-base-store,1.3.0,1.4.0
559,org.apache.camel,camel-core,2.9.0-RC1,2.9.0
563,org.jboss.errai,errai-bus,2.3.0.CR1,2.3.0.Final
568,org.jboss.errai,errai-bus,2.2.0.CR2,2.2.0.Final
569,org.hibernate,hibernate-validator,4.2.0.CR1,4.2.0.Final
572,org.apache.mina,mina-core,2.0.4,2.0.5
573,com.hp.hpl.jena,jena,2.6.3,2.6.4
583,org.apache.mina,mina-core,2.0.1,2.0.2
585,org.sonatype.plexus,plexus-restlet-bridge,1.22,1.23
596,org.openrdf.sesame,sesame-util,2.7.0-beta1,2.7.0-beta2
666,org.apache.hadoop,hadoop-common,2.1.0-beta,2.2.0
667,org.apache.mina,mina-core,2.0.4,2.0.5
674,org.opensaml,xmltooling,1.3.2,1.3.2-1
675,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
