l1_group_id,l1_artifact_id,l1_version,l1_release_date,l2_group_id,l2_artifact_id,l2_version,l2_release_date,c1_group_id,c1_artifact_id,c1_version,c1_release_date,c2_group_id,c2_artifact_id,c2_version,c2_release_date
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],cn.eova,eova,1.5.0,2016-12-20T19:53:17Z[GMT],cn.eova,eova,1.6-beta1,2017-05-25T14:48:55Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.sonatype.sisu,sisu-inject-bean,2.2.3,2011-06-08T20:18:37Z[GMT],org.sonatype.sisu,sisu-inject-bean,2.3.0,2011-09-13T04:13:25Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.sonatype.sisu,sisu-guice,3.0.3,2011-05-11T13:45:19Z[GMT],org.sonatype.sisu,sisu-guice,3.1.0,2011-09-03T00:01:30Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.sonatype.sisu.inject,guice-plexus-lifecycles,2.2.3,2011-06-08T20:22:49Z[GMT],org.sonatype.sisu.inject,guice-plexus-lifecycles,2.3.0,2011-09-13T04:15:26Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.sonatype.sisu.inject,guice-plexus-binders,2.2.3,2011-06-08T20:22:08Z[GMT],org.sonatype.sisu.inject,guice-plexus-binders,2.3.0,2011-09-13T04:15:04Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.sonatype.sisu.inject,guice-bean-reflect,2.2.3,2011-06-08T20:12:36Z[GMT],org.sonatype.sisu.inject,guice-bean-reflect,2.3.0,2011-09-13T04:10:31Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.sonatype.sisu.inject,guice-bean-locators,2.2.3,2011-06-08T20:16:12Z[GMT],org.sonatype.sisu.inject,guice-bean-locators,2.3.0,2011-09-13T04:12:09Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.openengsb.infrastructure,openengsb-infrastructure-parent,1.3.0.M3,2016-08-10T15:08:35Z[GMT],org.openengsb.infrastructure,openengsb-infrastructure-parent,2.0.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.openengsb.domain,openengsb-domain-parent,1.3.0.M3,2016-08-10T15:08:35Z[GMT],org.openengsb.domain,openengsb-domain-parent,2.0.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-security-wasp,1.5-RC7,2011-08-29T01:59:51Z[GMT],org.wicketstuff,wicketstuff-security-wasp,1.5.0,2011-09-13T04:32Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-gmap2,1.5-RC7,2011-08-29T01:34:47Z[GMT],org.wicketstuff,wicketstuff-gmap2,1.5.0,2011-09-13T04:03:44Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-datatables,1.5-RC7,2011-08-29T01:31:06Z[GMT],org.wicketstuff,wicketstuff-datatables,1.5.0,2011-09-13T03:59:31Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,mbeanview-examples,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,mbeanview-examples,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,gmap2-examples,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,gmap2-examples,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],com.ning,async-http-client,1.6.5,2011-09-09T20:21:11Z[GMT],com.ning,async-http-client,1.7.0-RC1,2011-12-21T15:47:24Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.cxf,cxf-rt-transports-http-jetty,2.4.4,2011-11-04T11:28:51Z[GMT],org.apache.cxf,cxf-rt-transports-http-jetty,2.4.5,2011-12-13T21:04:59Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.codehaus.btm,btm,2.1.1,2011-04-02T09:31:43Z[GMT],org.codehaus.btm,btm,2.1.2,2011-10-30T09:53:24Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.cxf,cxf-bundle-jaxrs,2.4.3,2011-10-04T17:08:19Z[GMT],org.apache.cxf,cxf-bundle-jaxrs,2.4.4,2011-11-04T00:17:47Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.kuali.rice,rice-impl,1.0.8,2015-05-27T16:37:30Z[GMT],org.kuali.rice,rice-impl,2.0.0-b1,2011-11-08T00:46:31Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],net.sf.ehcache,ehcache-core,2.4.5,2011-09-06T18:48:15Z[GMT],net.sf.ehcache,ehcache-core,2.4.6,2011-10-10T19:43:09Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],com.proofpoint.platform,log,0.49,2011-10-14T21:23:35Z[GMT],com.proofpoint.platform,log,0.50,2011-11-01T16:53:29Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.wicket,wicket-spring,1.5.1,2011-09-25T22:47:19Z[GMT],org.apache.wicket,wicket-spring,1.5.2,2011-10-20T16:23:32Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.wicket,wicket-ioc,1.5.1,2011-09-25T22:47:09Z[GMT],org.apache.wicket,wicket-ioc,1.5.2,2011-10-20T16:23:21Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.wicket,wicket-extensions,1.5.1,2011-09-25T22:46:31Z[GMT],org.apache.wicket,wicket-extensions,1.5.2,2011-10-20T16:22:40Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.wicket,wicket,1.5.1,2011-09-25T22:45:53Z[GMT],org.apache.wicket,wicket,1.5.2,2011-10-20T16:22:01Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],net.thucydides.easyb,thucydides-easyb-plugin,0.4.8,2011-09-27T07:40:01Z[GMT],net.thucydides.easyb,thucydides-easyb-plugin,0.4.16,2011-10-27T05:40:34Z[GMT]
